Respondents,Chestnut Ridge,Retailer A,Retailer B,Retailer C,Retailer D,Retailer E,Retailer F
1,1,0,0,0,3,2,2
2,9,7,9,5,5,6,3
3,3,5,6,0,5,5,2
4,5,4,5,4,2,3,2
5,4,3,6,3,10,7,1
6,4,0,0,0,3,2,1
7,5,1,2,2,5,4,2
8,8,2,7,1,8,8,2
9,3,9,9,4,4,4,1
10,4,4,6,2,3,2,3
11,5,2,4,1,9,3,1
12,10,5,9,8,2,1,1
13,4,2,8,4,7,6,3
14,1,1,4,2,5,3,1
15,1,2,5,0,6,6,1
16,2,7,10,7,7,4,1
17,5,3,6,2,6,4,3
18,6,1,7,6,10,8,0
19,0,2,3,2,4,4,1
20,0,3,5,5,8,7,3
21,9,6,8,5,5,2,2
22,1,1,2,0,4,3,1
23,0,2,9,2,10,10,0
24,3,0,1,0,7,4,0
25,2,10,10,7,5,3,3
26,8,7,10,6,2,1,2
27,7,1,1,1,7,7,2
28,0,1,1,1,2,1,1
29,3,7,10,8,3,2,0
30,9,9,9,4,8,5,2
31,3,0,4,2,10,6,2
32,2,2,7,3,9,3,1
33,2,2,5,2,7,7,1
34,2,4,4,1,3,3,1
35,6,3,5,5,2,2,2
36,1,0,8,8,9,4,0
37,3,0,2,1,10,8,2
38,9,5,7,3,6,5,1
39,2,1,3,0,2,3,2
40,4,1,1,0,1,2,0
41,3,0,0,0,5,2,0
42,1,1,2,0,10,1,1
43,0,6,8,6,5,4,3
44,7,3,5,4,5,5,0
45,9,2,10,3,4,5,0
46,9,2,8,3,9,2,1
47,1,1,2,1,4,3,1
48,7,2,9,8,3,3,0
49,9,4,7,1,1,2,3
50,8,6,10,2,3,2,0
